,rok,miesiac,procent_benzynowych,procent_olejowych,procent_energ,wynagrodzenia_i_swiadczenia_spoleczne:Przecietne_miesieczne_nominalne_wynagrodzenie_brutto_w_sektorze_przedsiebiorstw__zl_
0,2019,1,51.448850686983135,48.4762648954874,0.0748844175294654,4931.8
1,2019,2,52.83297961283684,47.08341372435527,0.08360666280789761,4949.42
2,2019,3,54.15778834070918,45.41878380593346,0.42342785335737315,5164.53
3,2019,4,57.570721357850076,42.185289957567186,0.24398868458274398,5186.12
4,2019,5,55.92841847659835,43.854389721627406,0.21719180177424288,5057.82
5,2019,6,57.21416753133851,42.609158978098094,0.17667349056339213,5104.46
6,2019,7,56.92027984902881,42.527386541471046,0.5523336095001381,5182.43
7,2019,8,57.315131424395084,42.329879146981284,0.3549894286236329,5125.26
8,2019,9,59.47745901639344,39.87576844262295,0.6467725409836066,5084.56
9,2019,10,55.962414280479514,43.872690153379054,0.16489556614144374,5213.27
10,2019,11,56.16782896993254,43.386303875614495,0.4458671544529553,5229.44
